Id,Requirements,project category,Requirement Category,Magnitude of Risk,Impact,Priority
12,The system shall enable user to select multiple options on the screen to search.,Transaction Processing System,Functional,High,insignificant,15.707692000000002
11,The system shall enable user to enter the search text on the screen.,Transaction Processing System,Functional,Very Low,moderate,17.692307999999997
